,station,year_season_ext,year_season,season,tav,tmax,tmin,rad,x,y
112,4,O.2022,2.2022,2,16.706593406593406,40.6,-2.5,246.94395604395606,605801,467364
113,4,O.2022,3.2022,3,20.83,34.8,7.9,247.92000000000002,605801,467364
114,4,O.2022,4.2022,4,12.570967741935483,30.8,-1.4,98.16774193548387,605801,467364
115,4,O.2023,1.2023,1,10.528571428571428,27.5,-4.1,165.56666666666666,605801,467364
116,4,O.2023,1.2024,1,3.966666666666667,14.5,-5.5,71.0,605801,467364
117,4,O.2023,2.2023,2,16.53956043956044,36.1,0.4,254.26483516483515,605801,467364
118,4,O.2023,3.2023,3,21.863333333333333,37.7,12.2,234.82333333333332,605801,467364
119,4,O.2023,4.2023,4,12.991304347826087,32.1,-4.0,118.43695652173913,605801,467364
120,4,S.2000,3.2000,3,21.631147540983605,36.5,10.1,269.0327868852459,605801,467364
121,4,S.2001,3.2001,3,21.720689655172414,37.1,5.7,259.78620689655173,605801,467364
122,4,S.2002,3.2002,3,20.411475409836065,36.5,7.6,256.6311475409836,605801,467364
123,4,S.2003,3.2003,3,23.354098360655737,37.5,10.8,291.4737704918033,605801,467364
124,4,S.2004,3.2004,3,21.993333333333332,35.7,8.7,274.2916666666667,605801,467364
125,4,S.2005,3.2005,3,22.101639344262296,38.0,10.2,290.05245901639347,605801,467364
126,4,S.2006,3.2006,3,22.498360655737706,37.8,9.4,287.75245901639346,605801,467364
127,4,S.2007,3.2007,3,21.099999999999998,36.8,9.7,283.37377049180327,605801,467364
128,4,S.2008,3.2008,3,21.40983606557377,37.2,8.5,284.5540983606557,605801,467364
129,4,S.2009,3.2009,3,22.524590163934427,37.2,10.8,294.21311475409834,605801,467364
130,4,S.2010,3.2010,3,22.477551020408164,37.6,8.6,294.93673469387755,605801,467364
131,4,S.2011,3.2011,3,22.059016393442622,36.8,8.8,279.87868852459013,605801,467364
132,4,S.2012,3.2012,3,22.719672131147544,39.2,9.3,299.3344262295082,605801,467364
133,4,S.2013,3.2013,3,23.04262295081967,38.1,11.7,281.63606557377045,605801,467364
134,4,S.2014,3.2014,3,20.855737704918035,36.7,7.5,264.36393442622955,605801,467364
135,4,S.2015,3.2015,3,23.801639344262295,38.8,8.4,282.75409836065575,605801,467364
136,4,S.2016,3.2016,3,22.732786885245904,39.0,10.7,288.24590163934425,605801,467364
137,4,S.2017,3.2017,3,22.968852459016393,37.3,9.7,267.2262295081967,605801,467364
138,4,S.2018,3.2018,3,23.158333333333335,37.3,12.5,286.06166666666667,605801,467364
139,4,S.2019,3.2019,3,23.562295081967214,38.8,10.1,282.18688524590164,605801,467364
140,4,S.2020,3.2020,3,22.813114754098358,38.2,11.1,286.14098360655737,605801,467364
