station,season,tav,tmax,tmin,rad
4,4.2016,11.279569892473118,31.2,-0.9,99.41827956989246
4,4.2017,11.348387096774195,36.7,-5.7,114.37956989247311
4,4.2018,11.965591397849462,34.1,-1.7,107.60215053763442
4,4.2019,12.006451612903225,29.1,-1.1,106.60645161290323
4,4.2020,10.446428571428571,30.2,-3.9,98.75
4,4.2021,10.539130434782608,26.9,-2.7,100.42826086956521
4,4.2022,12.570967741935483,30.8,-1.4,98.16774193548387
4,4.2023,12.991304347826087,32.1,-4.0,118.43695652173913
5,1.2000,7.15125,25.3,-5.3,117.2325
5,1.2001,8.57846153846154,22.8,-2.7,105.83538461538461
5,1.2002,7.268888888888889,27.0,-12.0,87.57111111111111
5,1.2003,6.887777777777777,21.6,-6.0,105.73
